scenario_type,parameter,value_1,value_2,value_3,note
10y_pool_path,500000_new_per_year_15_daily_25pct_recycle_y1,500000.0,342187500.0,22342187500.0,uniform-arrival approximation
10y_pool_path,500000_new_per_year_15_daily_25pct_recycle_y2,1000000.0,1026562500.0,20368750000.0,uniform-arrival approximation
10y_pool_path,500000_new_per_year_15_daily_25pct_recycle_y3,1500000.0,1710937500.0,19079687500.0,uniform-arrival approximation
10y_pool_path,500000_new_per_year_15_daily_25pct_recycle_y4,2000000.0,2395312500.0,18475000000.0,uniform-arrival approximation
10y_pool_path,500000_new_per_year_15_daily_25pct_recycle_y5,2500000.0,3079687500.0,18554687500.0,uniform-arrival approximation
10y_pool_path,500000_new_per_year_15_daily_25pct_recycle_y6,3000000.0,3764062500.0,19318750000.0,uniform-arrival approximation
10y_pool_path,500000_new_per_year_15_daily_25pct_recycle_y7,3500000.0,4448437500.0,20767187500.0,uniform-arrival approximation
10y_pool_path,500000_new_per_year_15_daily_25pct_recycle_y8,4000000.0,5132812500.0,22900000000.0,uniform-arrival approximation
10y_pool_path,500000_new_per_year_15_daily_25pct_recycle_y9,4500000.0,5817187500.0,25717187500.0,uniform-arrival approximation
10y_pool_path,500000_new_per_year_15_daily_25pct_recycle_y10,5000000.0,6501562500.0,29218750000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_10_daily_25pct_recycle_y1,1000000.0,456250000.0,19456250000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_10_daily_25pct_recycle_y2,2000000.0,1368750000.0,14825000000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_10_daily_25pct_recycle_y3,3000000.0,2281250000.0,11106250000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_10_daily_25pct_recycle_y4,4000000.0,3193750000.0,8300000000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_10_daily_25pct_recycle_y5,5000000.0,4106250000.0,6406250000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_10_daily_25pct_recycle_y6,6000000.0,5018750000.0,5425000000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_10_daily_25pct_recycle_y7,7000000.0,5931250000.0,5356250000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_10_daily_25pct_recycle_y8,8000000.0,6843750000.0,6200000000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_10_daily_25pct_recycle_y9,9000000.0,7756250000.0,7956250000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_10_daily_25pct_recycle_y10,10000000.0,8668750000.0,10625000000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_15_daily_25pct_recycle_y1,1000000.0,684375000.0,19684375000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_15_daily_25pct_recycle_y2,2000000.0,2053125000.0,15737500000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_15_daily_25pct_recycle_y3,3000000.0,3421875000.0,13159375000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_15_daily_25pct_recycle_y4,4000000.0,4790625000.0,11950000000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_15_daily_25pct_recycle_y5,5000000.0,6159375000.0,12109375000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_15_daily_25pct_recycle_y6,6000000.0,7528125000.0,13637500000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_15_daily_25pct_recycle_y7,7000000.0,8896875000.0,16534375000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_15_daily_25pct_recycle_y8,8000000.0,10265625000.0,20800000000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_15_daily_25pct_recycle_y9,9000000.0,11634375000.0,26434375000.0,uniform-arrival approximation
10y_pool_path,1000000_new_per_year_15_daily_25pct_recycle_y10,10000000.0,13003125000.0,33437500000.0,uniform-arrival approximation
